lambda,nodes_size,seed,RMSE,Accuracy,F1,Time,Is_DAG
1.0,15,49,0.07074016872633397,0.9955555555113086,0.9836065572158021,62.46355059999041,1
1.0,20,40,0.06036135014577256,0.999999999975,0.999999999883721,290.8164067000034,1
1.0,20,41,0.049752679937257044,0.999999999975,0.9999999998571429,209.8760519999778,1
1.0,20,42,0.0698998892603654,0.9974999999750624,0.9836065572158021,70.07988709997153,1
1.0,20,43,0.0509579736491584,0.999999999975,0.9999999998571429,142.79803290002747,1
1.0,20,44,0.07007853518122802,0.999999999975,0.999999999883721,145.09376819996396,1
1.0,20,45,0.049020884312371824,0.999999999975,0.999999999864865,292.1385888000368,1
1.0,20,46,0.0519210412696231,0.999999999975,0.9999999998529413,231.25729979999596,1
1.0,20,47,0.058094430090688924,0.999999999975,0.9999999998275861,142.98085560003528,1
1.0,20,48,0.05806810528603055,0.999999999975,0.9999999998979593,186.8035327999969,1
1.0,20,49,0.06138219614378675,0.9974999999750624,0.9873417720269189,230.71407210000325,0
10.0,5,40,0.030562576056900652,0.9999999996,0.9999999983333333,61.964773199986666,1
10.0,5,41,0.07101170445629679,0.9999999996,0.9999999983333333,50.533635600004345,1
10.0,5,42,0.09252944631455266,0.9999999996,0.9999999987499999,42.01239019999048,1
10.0,5,43,0.038407753853144024,0.9999999996,0.9999999983333333,34.26899409998441,1
10.0,5,44,,0.9999999996,0.0,62.935357599984854,1
10.0,5,45,0.048328830535153265,0.9999999996,0.999999995,38.15658370003803,1
10.0,5,46,0.06497924792296825,0.9999999996,0.9999999975,32.05089900002349,1
10.0,5,47,0.030502135937030463,0.9999999996,0.999999995,58.008901400025934,1
10.0,5,48,0.09102379436224274,0.9999999996,0.999999995,43.3837821999914,1
10.0,5,49,,0.9999999996,0.0,64.67009329999564,1
10.0,10,40,0.0795847281292277,0.9999999999000001,0.9999999995454545,48.17973340000026,1
10.0,10,41,0.051978518069107485,0.9999999999000001,0.9999999995,47.584781499987,1
10.0,10,42,0.0599008625975,0.9999999999000001,0.9999999996153845,45.16711420001229,1
10.0,10,43,0.053166990344029635,0.9999999999000001,0.9999999991666666,44.011124600016046,1
10.0,10,44,0.059950655377155194,0.9999999999000001,0.999999999375,51.54344600002514,1
10.0,10,45,0.05325713691739589,0.9999999999000001,0.9999999995454545,63.4486598999938,1
10.0,10,46,0.07812478869909434,0.9999999999000001,0.9999999997058824,71.41312330000801,1
10.0,10,47,0.038363866904994645,0.9999999999000001,0.9999999991666666,72.81286000000546,1
10.0,10,48,0.07440517192115143,0.9999999999000001,0.9999999994444444,60.0241256999434,1
10.0,10,49,0.05166470691706831,0.9999999999000001,0.9999999996428571,56.47524709999561,1
10.0,15,40,0.0651808324450291,0.9999999999555556,0.9999999997916666,50.65984129998833,1
10.0,15,41,0.05639691836639227,0.9999999999555556,0.9999999996875,54.723454499966465,1
10.0,15,42,0.06677144282377856,0.9999999999555556,0.9999999997619048,71.05420200002845,1
10.0,15,43,0.05172738736283495,0.9999999999555556,0.9999999997368421,56.02393079997273,1
10.0,15,44,0.05095485531229058,0.9999999999555556,0.9999999997916666,58.01488079997944,1
10.0,15,45,0.07020877770358386,0.9999999999555556,0.9999999997916666,60.70571180002298,1
10.0,15,46,0.0642769025296581,0.9999999999555556,0.9999999997727272,58.41505569999572,1
10.0,15,47,0.057207790629705095,0.9999999999555556,0.9999999997058824,37.661222699971404,1
10.0,15,48,0.05628160680668726,0.9999999999555556,0.9999999998214285,30.243469200038817,1
10.0,15,49,0.06888962052320383,0.9999999999555556,0.9999999998333333,33.15091440000106,1
10.0,20,40,0.06999960153634671,0.999999999975,0.999999999883721,31.319432000047527,1
10.0,20,41,0.05161699020532909,0.999999999975,0.9999999998571429,187.31960659998003,1
10.0,20,42,0.07585912132795515,0.9974999999750624,0.9836065572158021,77.2168247999507,1
10.0,20,43,0.051939779439358784,0.999999999975,0.9999999998571429,34.473338999960106,1
10.0,20,44,0.08236187554569561,0.999999999975,0.999999999883721,39.61016139999265,1
10.0,20,45,0.05585785190102722,0.999999999975,0.999999999864865,48.72148790000938,1
10.0,20,46,0.05507453450538557,0.999999999975,0.9999999998529413,37.82616400002735,1
10.0,20,47,0.0708975397580284,0.9974999999750624,0.9830508472910083,33.0637023000163,1
10.0,20,48,0.05612332398574582,0.999999999975,0.9999999998979593,41.53211790003115,1
10.0,20,49,0.05311860592830478,0.999999999975,0.999999999871795,42.987414499977604,1
