lambda,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
15,15,40,0.2794120770600432,0.017810201906870302,0.10783039332731847,0.8311111110741728,0.5581395348188211,2.8470151999936206,0.022318321775695198,0
15,15,41,0.2643653539840538,0.015192068361023305,0.10580995625187906,0.8844444444051358,0.5517241378359097,2.963401700006216,0.0036016328722763328,0
15,15,42,0.1810574195312919,0.011438706306727045,0.08860360738505318,0.7955555555201975,0.4651162790156842,2.898489500003052,0.03206136236529915,0
15,15,43,0.13956358925190337,0.006238926443549466,0.05565024809682386,0.875555555516642,0.5757575756703398,2.9546874999941792,0.008099344100472836,0
15,15,44,0.26135404344372243,0.016520937915905615,0.1109315690441885,0.8577777777396542,0.5897435896679817,2.959237300005043,0.02955359374950115,0
15,15,45,0.20366667769827707,0.011610170745826001,0.0867221524763981,0.871111111072395,0.6233766232956655,2.8148060999956215,0.0032264644294885455,0
15,15,46,0.24204061085622722,0.01928647759179819,0.11706759237089771,0.8622222221839012,0.5866666665884445,2.9012790999986464,0.01826422609749938,0
15,15,47,0.2460799134199128,0.018142895796393287,0.1110536994311452,0.9022222221821234,0.6071428570344388,2.9413813999999547,0.0006623578867735837,0
15,15,48,0.1868917875509044,0.007896380105343565,0.06977021021966667,0.8799999999608888,0.674698795099434,2.9329874999966705,0.02213464641293978,0
15,15,49,0.3003945106455728,0.029141114578576086,0.14224595237109522,0.7333333333007407,0.4999999999583334,3.033290899998974,0.01220656996653767,0
15,20,40,0.24743746422265256,0.014092922682103328,0.10404900054462089,0.8624999999784375,0.5985401459417123,3.267497699998785,0.02285346672171686,0
15,20,41,0.19957869125248986,0.00969145733083542,0.07933308510970478,0.8624999999784375,0.5528455284103377,3.54365659999894,0.038347042083546785,0
15,20,42,0.19939653396513732,0.01044756482768421,0.08129810307063459,0.8574999999785625,0.5128205127766821,3.5625459000002593,0.01849732283978734,0
15,20,43,0.16395024833554953,0.006794005434134122,0.06631973472123989,0.8599999999785,0.5555555555114638,3.6297145999997156,0.020155923735773216,0
15,20,44,0.22003698343884837,0.011517502133531298,0.08586941480081743,0.8574999999785625,0.5957446808088124,3.5650558000052115,0.011043216908632109,0
15,20,45,0.1789370391295987,0.007018245791349068,0.07039427095050095,0.84999999997875,0.5384615384201183,3.5788353999960236,0.048407967193752476,0
15,20,46,0.17842687169647947,0.008441798008223861,0.07456609835041118,0.8374999999790624,0.4961240309692927,3.713193699994008,0.014154284057979673,0
15,20,47,0.22867525645385758,0.012734234638371766,0.09844575802164865,0.894999999977625,0.5624999999414063,3.5090766999928746,0.007947738342980785,0
15,20,48,0.6238275150447549,0.09658904915201316,0.27999205366870994,0.814999999979625,0.5697674418273391,3.5137889000034193,0.0599246228778474,0
15,20,49,0.1726445543698612,0.007515573318334432,0.07423890418306014,0.834999999979125,0.5416666666290509,3.551526399998693,0.025841152267407526,0
20,7,40,0.4528333487866678,0.11522198353497086,0.33657964363510445,0.9999999997959184,0.9999999983333333,0.6428642999962904,-0.0,1
20,7,41,0.4254995230232978,0.05401622098516263,0.21090865925256824,0.9999999997959184,0.9999999987499999,0.6635680000035791,-0.0,1
20,7,42,0.3836954611004286,0.04554834548502461,0.20199913185954863,0.959183673273636,0.874999999453125,0.8452159000007669,2.3519326972658656e-12,0
20,7,43,0.3668145366539014,0.03729200666207342,0.1834986771299195,0.959183673273636,0.8333333326388889,0.6891364000039175,-0.0,1
