factor,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
1.0,20,48,1.0,0.250989627948858,0.4427283890688377,0.8774999999780625,0.0,8.837138000002597,-0.0,1
1.0,20,49,1.0,0.2752330907310871,0.4803285702535503,0.9024999999774375,0.0,8.790765400000964,-0.0,1
1.1,7,40,0.15380453147068365,0.009721086052972616,0.0942076168676859,0.4081632652228238,0.17142857137959183,5.934228899990558,0.012074054085727778,0
1.1,7,41,0.14649477205557773,0.005384760392184841,0.06220268863548248,0.5510204080508122,0.26666666657777777,5.75151659999392,0.018743521541711845,0
1.1,7,42,0.10953276250156882,0.003053218018734782,0.04399286749072907,0.5102040815285298,0.36842105253462604,5.784651199996006,0.007005247815375415,0
1.1,7,43,0.08642908437865068,0.0010333117949192416,0.025618181580751676,0.530612244789671,0.34285714275918366,6.181745099995169,0.002978594811080863,0
1.1,7,44,0.29136789782389666,0.01336214580726466,0.11443729498995987,0.5510204080508122,0.15384615378698224,5.783739599995897,0.0027826348505446434,0
1.1,7,45,0.11288620046868465,0.0038051907991175664,0.05527661446928164,0.6530612243565181,0.319999999872,6.021014700003434,0.008684244068451166,0
1.1,7,46,0.18531341260787554,0.008887399904288596,0.09047865145159902,0.5510204080508122,0.31249999990234373,5.874580199990305,0.005319176985222924,0
1.1,7,47,0.5943520062395077,0.19531772950063883,0.3969294838453742,0.530612244789671,0.2580645160457856,5.431926699995529,0.0007379667549167018,0
1.1,7,48,0.1269274506751711,0.007144092919154091,0.08301315689618659,0.4693877550062474,0.18749999994140626,11.496560400002636,0.004475139802130715,0
1.1,7,49,0.31411383360888223,0.01037693917761318,0.1018672625410793,0.6122448978342357,0.09523809519274376,11.593987100000959,0.007061613485663617,0
1.1,10,40,0.6396374921256353,0.1415830446396316,0.3507092115616218,0.6699999999330001,0.3999999999272727,11.649286100000609,0.0026006401553800166,0
1.1,10,41,0.6245960522185833,0.12392559979439641,0.3371920453693798,0.649999999935,0.3636363635702479,11.948710399999982,0.006625954458463161,0
1.1,10,42,0.33889925698568135,0.029762102171716296,0.14754230639713287,0.419999999958,0.30952380948696145,11.364546199998586,0.023954737629179487,0
1.1,10,43,0.15764139461283383,0.005784188217740591,0.07177009758320863,0.47999999995200004,0.18749999997070316,12.096374499989906,0.010237387655443764,0
1.1,10,44,0.14189486235536444,0.004268617086432258,0.059166246111052354,0.579999999942,0.27586206891795484,13.467667800010531,0.005013097588400176,0
1.1,10,45,1.0,0.3667544205488165,0.5630151945757571,0.8899999999110001,0.0,14.573343500000192,-0.0,1
1.1,10,46,0.19129482113987975,0.007061212679590469,0.07505296360347713,0.319999999968,0.3333333333006536,14.70918000000529,0.019998530711005644,0
1.1,10,47,0.12202882571361966,0.003148065272831593,0.04888811161011603,0.579999999942,0.22222222218106996,13.176714000001084,0.01367091454620596,0
1.1,10,48,1.0,0.33844407131201265,0.5371104851728685,0.909999999909,0.0,16.34980560000986,-0.0,1
1.1,10,49,1.0,0.44979990564321953,0.6270193088060413,0.859999999914,0.0,13.288630700000795,-0.0,1
1.1,15,40,0.5505600675185334,0.06421631062327313,0.22194698797350979,0.45333333331318515,0.2807017543695496,14.389729899994563,0.38531776734985185,0
1.1,15,41,0.12732399978372222,0.0018188351387190918,0.038356950555529325,0.4977777777556543,0.2206896551571938,14.924379499992938,0.015898592049197156,0
