lambda,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
0,15,46,0.5479603013403942,0.0952588533703122,0.2743665016242432,0.09777777777343209,0.1781376518146503,5.677311200000986,0.046210271186554054,0
0,15,47,0.1721169590976726,0.0024015996974804023,0.04121051981309857,0.07555555555219753,0.1404958677627894,5.558703399998194,0.019524095608429784,0
0,15,48,1.0,0.24641762850959933,0.4481629082529762,0.875555555516642,0.0,10.105204400002549,-0.0,1
0,15,49,1.0,0.331626278725925,0.5366108906654338,0.8666666666281481,0.0,13.59926059999998,-0.0,1
0,20,40,1.0,0.241183374060934,0.44072596718468166,0.8924999999776875,0.0,15.659220699999423,-0.0,1
0,20,41,1.0,0.26705396503594997,0.47283216742415046,0.9124999999771874,0.0,15.966087700006028,-0.0,1
0,20,42,1.0,0.2984831215492853,0.49476138761638533,0.924999999976875,0.0,16.193375200004084,-0.0,1
0,20,43,1.0,0.2900025242453835,0.49128377253101435,0.9124999999771874,0.0,20.249386700001196,-0.0,1
0,20,44,1.0,0.24724860823897735,0.44780397766182817,0.8924999999776875,0.0,21.493993299998692,-0.0,1
0,20,45,1.0,0.2659241171287336,0.45587982235820024,0.9074999999773125,0.0,22.734242300000915,-0.0,1
0,20,46,1.0,0.28926444994668676,0.4916127659795655,0.914999999977125,0.0,20.29379940000217,-0.0,1
0,20,47,0.3353363560161722,0.018960684245194613,0.11932805549208325,0.0724999999981875,0.13519813519498372,16.10415429999557,0.010958426224458464,0
0,20,48,1.0,0.250989627948858,0.4427283890688377,0.8774999999780625,0.0,7.633771099994192,-0.0,1
0,20,49,1.0,0.2752330907310871,0.4803285702535503,0.9024999999774375,0.0,7.50704609999957,-0.0,1
5,7,40,0.14286250218215682,0.004481523443472318,0.056451006697028884,0.1836734693502707,0.13043478258034027,4.487547500000801,0.0031107819776858437,0
5,7,41,0.10161469702357205,0.0007733863997372518,0.022780562922708657,0.34693877543940027,0.19999999995,4.581445899995742,0.004500534026088471,0
5,7,42,0.08669047044931569,0.001055684204503776,0.02845330273174163,0.3673469387005414,0.3111111110419753,4.305872199998703,0.0019632869830232625,0
5,7,43,0.0924980635436378,0.00038645288475362086,0.016877283361940578,0.34693877543940027,0.27272727266528923,4.366384900000412,0.000987753428110628,0
5,7,44,0.2479233380464568,0.00649115083461727,0.08019726528572928,0.2857142856559767,0.10256410253780407,4.295954499997606,0.0015495219853342442,0
5,7,45,0.10282100884127769,0.0019629142512901376,0.03803930140304658,0.3673469387005414,0.20512820507560814,4.319091099998332,0.0024182210817287326,0
5,7,46,0.12010230341976806,0.0017688426824959396,0.0378806136755079,0.3673469387005414,0.24390243896490185,4.205029500000819,0.0018165442054637246,0
5,7,47,0.5911830780387711,0.1930011496952841,0.3941961521332231,0.32653061217825907,0.19512195117192146,4.166270800000348,0.00016011329050215838,0
5,7,48,0.11006377628591837,0.0015784431460047416,0.039417992286159664,0.2653061223948355,0.14285714282312925,4.200535200005106,0.001242980228589202,0
5,7,49,0.2749688681307753,0.0005964765336425408,0.02442286907065877,0.3061224489171179,0.05555555554012345,4.157430499995826,0.0030060422094105,0
5,10,40,0.6358890447894493,0.13980227679824092,0.3480714927784285,0.449999999955,0.28571428567718,4.569915799998853,0.0005375174339697342,0
5,10,41,0.620784548331879,0.12219660433530088,0.33466016336591464,0.40999999995900005,0.2531645569299792,4.502028800001426,0.0011863849712240783,0
5,10,42,0.33491033995189406,0.028103243218995537,0.14284478422476868,0.24999999997500003,0.25742574254876976,4.531968499999493,0.005124959550224009,0
5,10,43,0.15636181889536716,0.0026989662199422104,0.04576850374339067,0.269999999973,0.1411764705716263,4.60381359999883,0.002794434446159509,0
5,10,44,0.11972530072482414,0.0013655559936346124,0.03391896970032483,0.34999999996500003,0.19753086417314436,4.588988499999687,0.0019147486003588132,0
5,10,45,1.0,0.3667544205488165,0.5630151945757571,0.8899999999110001,0.0,4.509124900003371,-0.0,1
5,10,46,0.19070313319046028,0.006286058126910774,0.07024352770945459,0.21999999997800002,0.303571428544324,4.74747209999623,0.004473584908479714,0
5,10,47,0.1253357116019787,0.0015103282270244086,0.03204950411796504,0.269999999973,0.1411764705716263,4.640010600000096,0.0036307735561223113,0
5,10,48,1.0,0.33844407131201265,0.5371104851728685,0.909999999909,0.0,4.45036610000534,-0.0,1
5,10,49,1.0,0.44979990564321953,0.6270193088060413,0.859999999914,0.0,4.873010299997986,-0.0,1
5,15,40,0.5470581955824169,0.06236205063410264,0.21772966146426356,0.28888888887604935,0.23076923075813607,6.416476899998088,0.055617061019468866,0
5,15,41,0.1433292957156023,0.0011613156310487703,0.03146188848881977,0.2711111110990617,0.1632653061141191,6.2974623999980395,0.004166023237369862,0
5,15,42,1.0,0.3916522876189967,0.5734777162894323,0.9066666666263703,0.0,5.536557899999025,-0.0,1
5,15,43,0.601100861315883,0.1253507159007874,0.3242158166387804,0.3288888888742716,0.20105820104756306,5.914339800001471,0.0015635951132712087,0
5,15,44,0.6397753476799201,0.10556706399824728,0.29967993793522,0.3688888888724938,0.252631578934072,6.167902499997581,0.001849151415833061,0
5,15,45,0.5145257165295186,0.06542953608853173,0.23079745305101565,0.2666666666548148,0.22535211266547642,6.283715400000801,0.10046453517273554,0
5,15,46,0.5502671286633936,0.09731077867992059,0.27781704149544467,0.29333333332029626,0.21674876846222912,6.059532299994316,0.042130899835119584,0
