factor,nodes_size,seed,RMSE,Trunc_MSE,Trunc_MAE,Accuracy,F1,Time,NoTears,Is_DAG
1,15,44,0.22571541239418863,0.010280668936654884,0.08368830661716131,0.7377777777449877,0.44859813079919647,2.9885081999964314,0.05920324997381515,0
1,15,45,0.17493237343356605,0.007411854298189159,0.0696311555600384,0.7333333333007407,0.4444444444032922,2.9145317999937106,0.013233144922789961,0
1,15,46,0.20127465488411925,0.011161993479649121,0.08951233198650158,0.7422222221892345,0.4313725489773164,2.148523199997726,0.0754125231508627,0
1,15,47,0.20282000706785935,0.010884422566396332,0.08213830562563305,0.7555555555219753,0.3820224718671885,2.204906099999789,0.017296987848609686,0
1,15,48,0.15697437188315277,0.004754919658498098,0.05171999576383425,0.7911111110759506,0.5436893203355642,2.8415813999890815,0.03519996951379404,0
1,15,49,0.4957143698775867,0.0762233008536554,0.2512911493096028,0.5911111110848395,0.3947368420792936,2.8488885999977356,0.2620388833079866,0
1,20,40,0.19884579827467877,0.007673333293368019,0.07458462894497393,0.7399999999815,0.4468085106145314,2.906513800000539,0.06637526847954295,0
1,20,41,0.17085852318568376,0.005415318315080793,0.06008791551997165,0.744999999981375,0.39999999997647057,3.0566169999947306,0.08056535582301096,0
1,20,42,0.18661338980138703,0.006972121242211957,0.06865510094043867,0.734999999981625,0.36144578311075626,3.6532318999961717,0.04375355231005946,0
1,20,43,0.1559149897812828,0.004605281895818114,0.05389601934646211,0.7099999999822499,0.3763440860012718,2.9847871999954805,0.038412448095991016,0
1,20,44,0.22463966746957675,0.010994165157503573,0.0825191923892238,0.58999999998525,0.34399999998624,2.8455245999939507,0.03599266839412278,0
1,20,45,0.16622230491331183,0.004192311037588964,0.05334730662823605,0.7274999999818125,0.3977900552266414,3.577981800000998,0.10170274688754163,0
1,20,46,0.16261456173070576,0.00542375316363729,0.05961129395468658,0.6824999999829375,0.3350785340138702,2.839441399992211,0.03948720033928829,0
